,Name_Metabolon,Name_PMI,KEGG,KEGG_ID_NOTES,Group.HMDB
209,tricosanoyl sphingomyelin (d18:1/23:0)*,SM 41:1;0,C00550 ,GENERIC SM,HMDB12105
227,"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",SM 41:2;0,C00550 ,GENERIC SM,
212,sphingomyelin (d18:2/23:1)*,SM 41:3;0,C00550 ,GENERIC SM,
210,lignoceroyl sphingomyelin (d18:1/24:0),SM 42:1;0,C00550 ,GENERIC SM,
386,,SM 42:1;1,C00550 ,GENERIC SM,
228,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",SM 42:2;0,C00550 ,GENERIC SM,HMDB12107
229,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",SM 42:3;0,C00550 ,GENERIC SM,
213,sphingomyelin (d18:2/24:2)*,SM 42:4;0,C00550 ,GENERIC SM,
387,,SM 44:2;0,C00550 ,GENERIC SM,
388,,TAG 54:2, C00422,GENERIC TAG ONLY,
389,,TAG 54:4, C00422,GENERIC TAG ONLY,
390,,TAG 54:5, C00422,GENERIC TAG ONLY,
391,,TAG 55:5, C00422,GENERIC TAG ONLY,
392,,TAG 56:5, C00422,GENERIC TAG ONLY,
393,,TAG 56:6, C00422,GENERIC TAG ONLY,
394,,TAG 56:7, C00422,GENERIC TAG ONLY,
395,,TAG 56:8, C00422,GENERIC TAG ONLY,
396,,TAG 56:9, C00422,GENERIC TAG ONLY,
397,,TAG 58:4, C00422,GENERIC TAG ONLY,
398,,TAG 58:5, C00422,GENERIC TAG ONLY,
399,,TAG 58:6, C00422,GENERIC TAG ONLY,
400,,TAG 58:7, C00422,GENERIC TAG ONLY,
401,,TAG 58:8, C00422,GENERIC TAG ONLY,
402,,TAG 60:4, C00422,GENERIC TAG ONLY,
403,,TAG 60:5, C00422,GENERIC TAG ONLY,
404,,TAG 60:8, C00422,GENERIC TAG ONLY,
